player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
Isaiah Roby,Spurs,79.19,29.41,54.84,0.38,0.15,15.8,0.9,2.5,39
Romeo Langford,Spurs,78.51,24.07,69.23,0.33,0.36,25.3,1.1,2.8,36
Gorgui Dieng,Spurs,80.98,26.87,75.0,0.46,0.12,21.2,1.7,3.6,26
Bryce McGowens,Hornets,75.21,33.33,72.86,0.5,0.45,19.5,1.2,2.1,40
Kai Jones,Hornets,87.0,22.22,73.08,0.18,0.21,18.4,0.4,3.0,39
Mark Williams,Hornets,89.21,0.0,71.08,0.36,0.42,37.5,0.4,7.4,36
Theo Maledon,Hornets,75.21,30.43,84.85,0.79,0.36,23.0,3.5,2.7,42
Karl-Anthony Towns,Timberwolves,79.31,35.33,87.6,1.37,0.67,62.4,4.8,8.1,27
Rudy Gobert,Timberwolves,90.99,0.0,64.53,0.77,0.61,57.8,1.2,11.7,62
Shai Gilgeous-Alexander,Thunder,71.7,34.18,90.17,1.83,1.42,60.7,5.5,4.7,64
Jaden McDaniels,Timberwolves,80.32,37.39,71.97,0.79,0.39,38.4,1.8,3.8,71
Kenrich Williams,Thunder,82.83,37.4,43.24,0.29,0.24,31.2,2.0,4.9,51
D'Angelo Russell,"Lakers, Timberwolves",73.08,38.58,83.57,1.59,0.35,43.7,6.1,3.0,66
Aleksej Pokusevski,Thunder,78.11,36.0,62.86,0.69,0.25,32.8,1.9,4.9,32
Anthony Edwards,Timberwolves,70.02,36.14,75.98,1.96,0.77,56.9,4.3,5.8,71
Josh Giddey,Thunder,77.84,32.26,75.0,1.88,1.06,55.5,6.1,7.9,72
Luguentz Dort,Thunder,71.03,33.83,77.29,0.59,0.73,40.2,2.1,4.5,71
Kyle Anderson,Timberwolves,83.38,43.82,73.11,0.79,0.26,34.8,4.8,5.3,61
Tre Mann,Thunder,70.07,31.37,76.36,0.54,0.25,23.6,1.8,2.4,65
Jeremiah Robinson-Earl,Thunder,79.17,33.94,82.5,0.2,0.29,26.7,1.0,4.2,41
Jordan McLaughlin,Timberwolves,76.33,27.78,83.33,0.51,0.21,14.0,3.1,1.4,39
Darius Bazley,"Thunder, Suns",80.77,37.74,54.29,0.31,0.62,21.4,0.9,3.2,42
Jaylen Nowell,Timberwolves,71.3,29.95,77.32,0.7,0.6,28.1,2.0,2.6,60
Jalen Williams,Thunder,78.84,34.92,81.01,0.77,0.72,40.9,3.2,4.5,71
Ousmane Dieng,Thunder,76.12,25.81,61.9,0.47,0.19,18.9,1.2,2.7,36
Joe Kleine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Taurean Prince,Timberwolves,77.81,39.43,83.82,0.74,0.26,27.5,1.6,2.4,50
Bryn Forbes,Timberwolves,66.89,27.5,100.0,0.18,0.23,10.0,0.7,0.5,22
Mike Muscala,"Thunder, Celtics",78.83,39.3,76.0,0.12,0.17,21.7,0.8,3.4,59
Eugene Omoruyi,"Thunder, Pistons",78.61,29.89,68.57,0.31,0.46,24.5,0.7,2.7,39
Austin Rivers,Timberwolves,77.73,33.02,75.0,0.27,0.27,17.5,1.5,1.6,45
Randolph Keys,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Scottie Barnes,Raptors,75.39,26.87,77.25,1.08,0.61,47.2,4.9,6.6,71
Donovan Mitchell,Cavaliers,69.73,38.5,86.4,1.93,0.8,58.9,4.4,4.1,59
O.G. Anunoby,Raptors,74.84,38.97,83.12,0.97,0.98,46.1,2.0,5.0,60
Pascal Siakam,Raptors,73.37,31.85,77.62,1.38,0.49,59.0,5.8,7.8,63
Evan Mobley,Cavaliers,82.89,21.95,69.63,0.82,0.75,54.7,2.7,9.2,67
