,home_team,home_score,away_team,away_score,winner,wins_home,losses_home,FG%_home,3PT FG%_home,FT%_home,offensive_rating_home,defensive_rating_home,average_assists_home,average_rebounds_home,wins_away,losses_away,FG%_away,3PT FG%_away,FT%_away,offensive_rating_away,defensive_rating_away,average_assists_away,average_rebounds_away
1025,15,107,19,100,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
1026,14,80,13,120,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5
1027,30,99,1,140,0,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45
1028,8,88,10,107,0,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
1029,18,91,26,121,0,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
1030,2,117,21,110,1,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
1031,12,109,6,116,0,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
1032,1,122,7,114,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
1033,9,124,29,107,1,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89
1034,22,116,24,130,0,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69
1035,28,121,5,115,1,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
1036,23,108,27,94,1,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
1037,19,111,4,123,0,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26
1038,3,130,17,115,1,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
1039,14,114,13,138,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5
1040,15,100,8,93,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
1041,25,129,16,122,1,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
1042,10,122,27,114,1,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
1043,18,108,21,128,0,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
1044,9,111,7,110,1,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
1045,26,128,23,107,1,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
1046,19,105,14,107,0,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42
1047,29,132,16,130,1,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
1048,6,128,5,102,1,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
1049,13,134,17,142,0,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
1050,28,109,4,134,0,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26
1051,20,118,15,128,0,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03
1052,22,115,11,105,1,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31
1053,30,117,2,104,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
1054,8,112,3,110,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89
1055,18,100,21,120,0,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
1056,5,105,25,118,0,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
1057,6,113,22,117,0,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01
1058,12,128,30,140,0,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11
1059,9,102,19,107,0,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
