PLAYER_ID;PLAYER_NAME;NICKNAME;TEAM_ABBREVIATION
203210;JaMychal Green;JaMychal;GSW
201580;JaVale McGee;JaVale;SAC
1631095;Jabari Smith Jr.;Jabari;HOU
1631133;Jabari Walker;Jabari;POR
1631298;Jack White;Jack;DEN
1631367;Jacob Gilyard;Jacob;MEM
1630702;Jaden Hardy;Jaden;DAL
1631093;Jaden Ivey;Jaden;DET
1630183;Jaden McDaniels;Jaden;MIN
1630531;Jaden Springer;Jaden;BOS
203109;Jae Crowder;Jae;MIL
1630256;Jae'Sean Tate;Jae'Sean;HOU
1631222;Jake LaRavia;Jake;MEM
1627751;Jakob Poeltl;Jakob;TOR
1628973;Jalen Brunson;Jalen;NYK
1631105;Jalen Duren;Jalen;DET
1630224;Jalen Green;Jalen;HOU
1630552;Jalen Johnson;Jalen;ATL
1629667;Jalen McDaniels;Jalen;TOR
1630188;Jalen Smith;Jalen;IND
1630591;Jalen Suggs;Jalen;ORL
1631114;Jalen Williams;Jalen;OKC
1631288;Jamal Cain;Jamal;MIA
1627750;Jamal Murray;Jamal;DEN
1631123;Jamaree Bouyea;Jamaree;WAS
1630547;James Bouknight;James;CHA
201935;James Harden;James;LAC
201949;James Johnson;James;IND
1630164;James Wiseman;James;DET
1630215;Jared Butler;Jared;OKC
1631197;Jared Rhoden;Jared;DET
1628991;Jaren Jackson Jr.;Jaren;MEM
1629020;Jarred Vanderbilt;Jarred;LAL
1629714;Jarrell Brantley;Jarrell;UTA
1628386;Jarrett Allen;Jarrett;CLE
1629633;Jarrett Culver;Jarrett;ATL
1630554;Jason Preston;Jason;LAC
1629750;Javonte Green;Javonte;CHI
1629637;Jaxson Hayes;Jaxson;LAL
1630643;Jay Huff;Jay;WAS
1630206;Jay Scrubb;Jay;ORL
1627759;Jaylen Brown;Jaylen;BOS
1629669;Jaylen Nowell;Jaylen;MIN
1631119;Jaylin Williams;Jaylin;OKC
1628369;Jayson Tatum;Jayson;BOS
1630288;Jeff Dowtin Jr.;Jeff;TOR
201145;Jeff Green;Jeff;HOU
203924;Jerami Grant;Jerami;POR
1630526;Jeremiah Robinson-Earl;Jeremiah;HOU
1631110;Jeremy Sochan;Jeremy;SAS
1630579;Jericho Sims;Jericho;NYK
1628975;Jevon Carter;Jevon;MIL
202710;Jimmy Butler;Jimmy;MIA
1629111;Jock Landale;Jock;HOU
203925;Joe Harris;Joe;DET
204060;Joe Ingles;Joe;ORL
1630580;Joe Wieskamp;Joe;TOR
203954;Joel Embiid;Joel;PHI
1631219;John Butler Jr.;John;POR
1628381;John Collins;John;ATL
1629723;John Konchar;John;MEM
202322;John Wall;John;LAC
1631098;Johnny Davis;Johnny;WAS
1630548;Johnny Juzang;Johnny;UTA
202685;Jonas Valanciunas;Jonas;NOP
1628371;Jonathan Isaac;Jonathan;ORL
1630228;Jonathan Kuminga;Jonathan;GSW
203903;Jordan Clarkson;Jordan;UTA
1630692;Jordan Goodwin;Jordan;PHX
1631160;Jordan Hall;Jordan;SAS
1629162;Jordan McLaughlin;Jordan;MIN
1629670;Jordan Nwora;Jordan;TOR
1629673;Jordan Poole;Jordan;WAS
1630648;Jordan Schakel;Jordan;WAS
1630631;Jose Alvarado;Jose;NOP
1630528;Josh Christopher;Josh;MEM
1630581;Josh Giddey;Josh;OKC
1630182;Josh Green;Josh;DAL
1628404;Josh Hart;Josh;NYK
1631169;Josh Minott;Josh;MIN
1629006;Josh Okogie;Josh;PHX
1626196;Josh Richardson;Josh;MIA
1630563;Joshua Primo;Joshua;SAS
201950;Jrue Holiday;Jrue;BOS
